Id,SalePrice_pred
1461,101207.48
1462,135277.0
1463,176088.46
1464,189276.81
1465,196730.85
1466,171543.6
1467,179699.66
1468,163509.38
1469,209057.19
1470,114378.56
1471,173761.74
1472,101100.96
1473,87683.92
1474,145638.09
1475,100941.95
1476,356993.14
1477,254396.5
1478,313653.83
1479,313812.76
1480,450843.84
1481,314020.37
1482,228373.01
1483,167579.12
1484,166749.35
1485,202906.06
1486,199981.11
1487,333738.28
1488,219578.98
1489,193491.81
1490,241597.35
1491,195725.79
1492,79325.23
1493,226686.3
1494,309418.98
1495,285259.3
1496,247044.61
1497,171642.47
1498,163526.81
1499,159100.08
1500,155135.93
1501,186790.21
1502,144772.72
1503,283946.49
1504,241255.74
1505,221017.29
1506,195916.93
1507,242687.62
1508,190880.3
1509,158761.69
1510,147586.87
1511,144263.53
1512,170270.13
1513,171126.27
1514,152353.41
1515,200906.16
1516,152725.25
1517,173232.84
1518,114190.08
1519,212637.31
1520,121257.81
1521,119965.44
1522,185790.68
1523,100681.77
1524,122639.66
1525,104809.15
1526,97803.66
1527,95585.74
1528,138399.24
1529,147717.87
1530,226415.27
1531,139277.48
1532,105380.8
1533,161520.77
1534,126114.9
1535,146344.11
1536,94886.55
1537,41787.17
1538,165915.28
1539,215792.19
1540,125194.25
1541,139620.55
1542,136330.99
1543,182128.78
1544,77195.5
1545,123224.18
1546,133053.98
1547,118340.94
1548,146666.6
1549,126477.47
1550,141999.06
1551,113806.6
1552,149264.48
1553,156786.61
1554,118940.18
1555,140716.56
1556,84576.9
1557,111634.47
1558,109757.17
1559,86997.77
1560,133387.01
1561,126749.32
1562,126590.5
1563,125355.59
1564,147469.09
1565,139050.11
1566,246494.57
1567,67641.85
1568,228828.78
1569,116952.62
1570,141112.24
1571,101631.13
1572,142636.98
1573,241835.66
1574,140092.86
1575,241818.28
1576,240868.57
1577,184084.46
1578,152994.05
1579,138217.16
1580,194637.66
1581,160655.92
1582,137444.09
1583,271603.48
1584,221372.21
1585,139332.53
1586,55627.72
1587,111574.04
1588,166729.64
1589,107490.59
1590,133094.71
1591,86546.52
1592,128634.42
1593,135741.49
1594,145124.76
1595,113873.66
1596,218064.23
1597,196109.99
1598,217929.47
1599,200669.89
1600,176026.97
1601,46022.28
1602,124072.9
1603,69973.25
1604,279052.88
1605,238520.43
1606,159954.5
1607,169610.76
1608,211083.75
1609,187125.4
1610,158859.39
1611,149052.67
1612,178720.63
1613,162643.58
1614,143196.59
1615,92144.8
1616,66022.89
1617,83811.72
1618,122009.77
1619,149588.81
1620,176300.33
1621,129497.96
1622,152194.03
1623,260894.09
1624,210208.25
1625,115872.81
1626,176662.0
1627,180695.21
1628,287753.8
1629,189056.01
1630,342461.77
1631,226454.46
1632,237071.89
1633,197452.9
1634,193257.18
1635,177673.64
1636,145051.85
1637,184886.2
1638,183219.4
1639,189892.64
1640,245947.78
1641,183256.35
1642,253649.18
1643,212417.06
1644,226879.3
1645,203986.88
1646,161466.01
1647,158747.97
1648,135161.81
1649,125261.93
1650,121127.72
1651,120419.15
1652,99885.55
1653,100610.29
1654,144244.43
1655,127038.55
1656,136293.11
1657,145430.31
1658,146187.12
1659,119732.16
1660,144284.16
1661,401349.68
1662,375514.79
1663,366729.33
1664,446296.47
1665,321679.62
1666,326789.62
1667,364814.71
1668,354159.64
1669,319891.1
1670,349138.95
1671,265947.2
1672,392497.49
1673,298479.39
1674,255176.78
1675,209622.13
1676,213435.31
1677,221923.38
1678,448069.2
1679,379310.19
1680,329953.43
1681,283233.06
1682,326580.5
1683,204581.63
1684,170812.74
1685,178329.24
1686,169842.33
1687,186574.55
1688,191104.8
1689,199868.58
1690,199981.16
1691,190506.35
1692,269706.66
1693,182157.26
1694,186912.74
1695,180324.99
1696,259355.17
1697,192554.0
1698,336908.46
1699,328305.42
1700,270352.82
1701,287564.87
1702,226725.19
1703,223796.27
1704,258799.56
1705,252990.33
1706,388853.43
1707,225667.85
1708,204265.92
1709,244257.77
1710,220883.61
1711,272010.87
1712,251473.23
1713,269872.57
1714,215773.04
1715,208078.74
1716,175552.57
1717,178657.37
1718,136496.24
1719,229880.43
1720,232310.61
1721,162286.53
1722,120042.46
1723,153351.7
1724,206178.01
1725,240364.68
1726,182473.77
1727,154418.38
1728,175514.43
1729,170194.25
1730,171225.17
1731,130463.91
1732,121792.71
1733,109093.07
1734,119283.82
1735,124837.59
1736,93758.64
1737,280591.85
1738,259135.17
1739,264232.23
1740,206402.58
1741,184967.54
1742,174010.64
1743,178194.33
1744,312460.08
1745,215744.05
1746,205502.1
1747,218295.01
1748,217200.23
1749,127441.83
1750,126756.99
1751,236173.75
1752,111304.64
1753,161231.88
1754,200465.71
1755,151888.65
1756,145900.45
1757,114849.06
1758,146351.6
1759,159304.6
1760,160512.42
1761,150820.79
1762,185892.96
1763,196464.7
1764,111259.56
1765,180805.47
1766,185702.51
1767,213970.12
1768,139974.28
1769,161137.07
1770,161782.54
1771,127432.6
1772,126517.94
1773,116431.69
1774,148627.8
1775,150296.06
1776,137597.26
1777,109433.68
1778,152392.92
1779,129128.68
1780,173204.05
1781,126798.45
1782,69681.85
1783,136517.62
1784,99751.66
1785,134532.41
1786,129612.84
1787,164112.94
1788,48081.15
1789,105385.6
1790,62116.51
1791,199166.78
1792,158180.67
1793,134622.64
1794,180669.66
1795,128010.09
1796,141208.73
1797,129422.67
1798,128883.54
1799,101752.24
1800,126568.07
1801,116297.15
1802,136293.23
1803,158010.31
1804,121628.15
1805,141561.52
1806,131657.37
1807,161330.71
1808,124194.49
1809,126148.96
1810,148231.71
1811,94219.81
1812,110965.06
1813,129780.85
1814,97403.21
1815,40337.51
1816,99851.38
1817,111585.32
1818,161864.41
1819,128106.88
1820,45323.06
1821,117417.27
1822,154004.03
1823,44337.7
1824,141141.13
1825,140827.64
1826,90220.2
1827,102323.79
1828,139937.59
1829,150846.7
1830,149140.26
1831,155439.77
1832,90485.59
1833,147335.46
1834,112448.23
1835,105598.95
1836,120108.91
1837,70277.81
1838,98621.66
1839,110120.89
1840,159872.15
1841,136653.29
1842,96724.58
1843,127671.75
1844,151532.8
1845,149310.15
1846,149277.37
1847,171885.75
1848,33964.72
1849,125416.3
1850,119054.95
1851,145677.83
1852,120023.18
1853,116729.91
1854,157002.15
1855,139954.86
1856,221211.54
1857,122943.28
1858,140422.13
1859,120774.39
1860,122320.42
1861,119744.23
1862,306040.27
1863,292939.74
1864,292956.17
1865,354113.28
1866,342710.76
1867,219987.4
1868,281382.91
1869,209780.94
1870,217258.53
1871,270729.64
1872,177279.25
1873,243814.63
1874,149754.36
1875,190660.21
1876,196796.99
1877,200287.9
1878,203380.26
1879,128673.57
1880,132908.11
1881,233315.75
1882,239858.89
1883,187858.33
1884,198036.28
1885,238178.59
1886,289584.37
1887,215960.26
1888,250029.58
1889,171664.55
1890,113592.68
1891,139953.81
1892,89720.67
1893,127773.8
1894,116424.62
1895,133946.47
1896,122157.41
1897,100064.03
1898,103073.61
1899,159123.98
1900,164966.15
1901,180142.42
1902,157071.18
1903,232463.81
1904,160496.37
1905,204317.69
1906,171012.82
1907,212578.9
1908,115662.44
1909,141206.23
1910,122565.75
1911,237269.94
1912,307520.51
1913,163279.94
1914,61139.39
1915,329960.57
1916,34373.09
1917,241845.04
1918,134894.35
1919,161420.92
1920,165470.41
1921,357672.49
1922,325718.68
1923,234722.38
1924,219600.46
1925,211665.31
1926,363206.67
1927,122439.68
1928,164523.76
1929,105306.83
1930,119415.67
1931,129390.87
1932,132689.01
1933,195178.29
1934,181732.6
1935,172439.63
1936,207860.93
1937,180577.51
1938,175038.05
1939,253555.34
1940,199041.53
1941,169092.61
1942,176722.4
1943,240981.38
1944,364845.3
1945,391605.05
1946,130897.59
1947,317284.42
1948,165617.94
1949,237333.85
1950,191418.87
1951,245572.59
1952,196277.18
1953,173296.53
1954,186411.53
1955,132477.2
1956,260100.45
1957,155363.75
1958,269521.64
1959,142316.52
1960,98440.28
1961,119437.06
1962,87622.35
1963,104461.33
1964,100992.28
1965,131845.69
1966,136850.89
1967,304514.22
1968,404713.54
1969,387512.25
1970,402508.46
1971,440419.84
1972,363976.87
1973,304156.53
1974,344696.81
1975,473811.87
1976,284270.4
1977,356516.71
1978,346803.18
1979,321589.55
1980,189700.87
1981,339108.26
1982,227269.42
1983,215164.91
1984,196098.85
1985,235172.09
1986,206577.09
1987,208883.05
1988,174186.51
1989,198171.42
1990,212570.5
1991,238809.93
1992,226219.04
1993,165755.46
1994,233451.23
1995,187543.33
1996,296649.0
1997,336515.44
1998,303093.02
1999,313036.49
2000,330238.54
2001,286741.54
2002,240004.75
2003,243201.34
2004,278738.11
2005,228368.92
2006,222284.31
2007,243384.06
2008,226274.1
2009,202407.35
2010,193618.98
2011,138396.69
2012,177004.06
2013,171049.55
2014,177583.96
2015,209392.04
2016,192804.06
2017,193306.61
2018,114973.2
2019,123851.37
2020,82875.72
2021,97031.41
2022,184216.95
2023,130914.28
2024,297846.06
2025,363655.39
2026,176875.61
2027,159307.17
2028,161773.59
2029,171986.65
2030,258886.23
2031,237044.93
2032,263366.39
2033,252816.48
2034,183207.67
2035,230443.73
2036,203599.5
2037,209539.97
2038,316803.38
2039,244292.71
2040,313040.93
2041,277141.31
2042,214516.65
2043,172348.62
2044,180078.16
2045,203661.27
2046,129576.28
2047,130210.89
2048,146436.73
2049,134699.51
2050,164338.05
2051,112753.82
2052,126766.75
2053,143455.69
2054,78384.37
2055,166156.39
2056,148966.88
2057,97921.66
2058,210917.61
2059,120199.86
2060,174932.36
2061,167290.76
2062,117959.6
2063,110971.13
2064,121831.61
2065,123550.45
2066,166503.54
2067,129041.74
2068,139051.65
2069,85133.17
2070,111392.85
2071,99660.76
2072,137642.26
2073,119374.5
2074,153709.17
